file,before,after
ahoi-ashtami-vrat-katha.json,"children;protection;family-welfare;devotion","children;protection;family-harmony;devotion"
ananda-lahari.json,"devotion;prosperity;protection;liberation","devotion;prosperity;protection;moksha"
anjaneya-dandakam.json,"devotion;protection;health;strength;obstacle-removal","devotion;protection;health;strength;removal-of-obstacles"
anjaneya-stotram.json,"protection;strength;victory;devotion;obstacle-removal","protection;strength;victory;devotion;removal-of-obstacles"
ashta-bhairava-stotram.json,"protection;fear-removal;health;obstacle-removal;devotion","protection;fear-removal;health;removal-of-obstacles;devotion"
ashtavakra-gita-key-verses.json,"wisdom;liberation;spiritual-growth;meditation","wisdom;moksha;spiritual-growth;meditation"
ashtavinayak-stotram.json,"obstacle-removal;pilgrimage;success;devotion","removal-of-obstacles;pilgrimage;success;devotion"
atma-bodha.json,"liberation;knowledge;peace;devotion","moksha;knowledge;peace;devotion"
avadhuta-gita-key-verses.json,"spiritual-growth;knowledge;meditation;liberation","spiritual-growth;knowledge;meditation;moksha"
avadhuta-stotram.json,"spiritual-growth;wisdom;liberation;devotion","spiritual-growth;wisdom;moksha;devotion"
ayodhya-stotram.json,"devotion;pilgrimage;liberation;peace;dharma","devotion;pilgrimage;moksha;peace;dharma"
badrinath-stotram.json,"devotion;pilgrimage;liberation;knowledge","devotion;pilgrimage;moksha;knowledge"
bhagavad-gita-chapter-12.json,"devotion;spiritual-growth;knowledge;liberation","devotion;spiritual-growth;knowledge;moksha"
bhairav-aarti.json,"protection;removal-of-graha-dosha;fearlessness;devotion;aarti","protection;graha-shanti;fearlessness;devotion;aarti"
bhairav-chalisa.json,"protection;removal-of-graha-dosha;fearlessness;devotion","protection;graha-shanti;fearlessness;devotion"
bhaja-govindam.json,"spiritual-growth;knowledge;liberation;devotion;peace","spiritual-growth;knowledge;moksha;devotion;peace"
bhimashankar-stotram.json,"devotion;protection;pilgrimage;liberation","devotion;protection;pilgrimage;moksha"
bhishma-stuti.json,"devotion;spiritual-growth;liberation;peace","devotion;spiritual-growth;moksha;peace"
brahma-murari-stotram.json,"morning-prayer;protection;auspiciousness;peace;devotion","daily-worship;protection;auspiciousness;peace;devotion"
chatuh-shloki-bhagavatam.json,"knowledge;spiritual-growth;liberation;meditation","knowledge;spiritual-growth;moksha;meditation"
dakshinamurthy-stotram.json,"spiritual-growth;knowledge;liberation;devotion","spiritual-growth;knowledge;moksha;devotion"
dasha-shloki.json,"liberation;knowledge;peace","moksha;knowledge;peace"
dashavatara-stotram.json,"devotion;knowledge;spiritual-growth;liberation","devotion;knowledge;spiritual-growth;moksha"
dattatreya-ashtakam.json,"spiritual-growth;knowledge;protection;devotion;liberation","spiritual-growth;knowledge;protection;devotion;moksha"
dattatreya-upanishad-key-verses.json,"spiritual-growth;wisdom;devotion;liberation","spiritual-growth;wisdom;devotion;moksha"
dhruva-stuti.json,"devotion;spiritual-growth;determination;liberation","devotion;spiritual-growth;determination;moksha"
dwarkadhish-aarti.json,"devotion;worship;prosperity;peace;liberation;aarti","devotion;worship;prosperity;peace;moksha;aarti"
dwarkadhish-stotram.json,"devotion;pilgrimage;prosperity;liberation","devotion;pilgrimage;prosperity;moksha"
eka-shloki.json,"knowledge;liberation;peace","knowledge;moksha;peace"
gajendra-moksha-stotram.json,"liberation;protection;devotion;removal-of-obstacles;spiritual-growth","moksha;protection;devotion;removal-of-obstacles;spiritual-growth"
ganesh-bhujanga-stotram.json,"obstacle-removal;success;knowledge;devotion","removal-of-obstacles;success;knowledge;devotion"
ganesha-ashtottara-shatanamavali.json,"archana-puja;obstacle-removal;success;devotion","archana-puja;removal-of-obstacles;success;devotion"
ganesha-hridayam.json,"obstacle-removal;devotion;success;protection","removal-of-obstacles;devotion;success;protection"
ganesha-mangala-stotram.json,"obstacle-removal;devotion;new-beginnings;auspiciousness","removal-of-obstacles;devotion;new-beginnings;auspiciousness"
ganesha-mangalashtakam.json,"obstacle-removal;auspiciousness;success;devotion","removal-of-obstacles;auspiciousness;success;devotion"
ganesha-pancharatnam.json,"obstacle-removal;success;knowledge;devotion","removal-of-obstacles;success;knowledge;devotion"
ganesha-stuti-mudgala-purana.json,"obstacle-removal;devotion;wisdom;spiritual-growth","removal-of-obstacles;devotion;wisdom;spiritual-growth"
ganga-ashtakam.json,"purification;liberation;devotion;removal-of-sins","purification;moksha;devotion;sin-removal"
ganga-stotram.json,"purification;liberation;devotion;removal-of-sins","purification;moksha;devotion;sin-removal"
gauri-chalisa.json,"devotion;prosperity;marital-harmony;obstacle-removal","devotion;prosperity;marital-harmony;removal-of-obstacles"
gita-mahatmya.json,"knowledge;devotion;spiritual-growth;liberation;peace","knowledge;devotion;spiritual-growth;moksha;peace"
govinda-damodara-stotram.json,"devotion;spiritual-growth;peace;liberation","devotion;spiritual-growth;peace;moksha"
grishneshwar-stotram.json,"devotion;pilgrimage;liberation;family","devotion;pilgrimage;moksha;family-harmony"
guru-ashtakam.json,"spiritual-growth;knowledge;devotion;liberation","spiritual-growth;knowledge;devotion;moksha"
guru-gita.json,"spiritual-growth;knowledge;devotion;liberation","spiritual-growth;knowledge;devotion;moksha"
guru-paduka-stotram.json,"spiritual-growth;devotion;knowledge;liberation","spiritual-growth;devotion;knowledge;moksha"
guru-vandana.json,"devotion;knowledge;spiritual-growth;liberation","devotion;knowledge;spiritual-growth;moksha"
hanuman-stuti-parasara.json,"protection;strength;health;devotion;obstacle-removal","protection;strength;health;devotion;removal-of-obstacles"
hare-krishna-mahamantra.json,"devotion;spiritual-growth;liberation;purification;peace","devotion;spiritual-growth;moksha;purification;peace"
hari-stotram.json,"devotion;peace;spiritual-growth;liberation","devotion;peace;spiritual-growth;moksha"
hastamalaka-stotram.json,"knowledge;liberation;peace;devotion","knowledge;moksha;peace;devotion"
jagannath-stotram.json,"devotion;pilgrimage;liberation;peace","devotion;pilgrimage;moksha;peace"
janmashtami-vrat-katha.json,"devotion;protection;spiritual-growth;liberation","devotion;protection;spiritual-growth;moksha"
kaivalya-upanishad.json,"liberation;knowledge;devotion;peace","moksha;knowledge;devotion;peace"
kali-aarti.json,"protection;fearlessness;removal-of-evil;devotion;aarti","protection;fearlessness;removal-of-obstacles;devotion;aarti"
kali-chalisa.json,"protection;fearlessness;removal-of-enemies;devotion","protection;fearlessness;enemy-removal;devotion"
kalki-stotram.json,"devotion;dharma;protection;liberation","devotion;dharma;protection;moksha"
karpura-gauram.json,"devotion;aarti;peace;daily-prayer","devotion;aarti;peace;daily-worship"
karva-chauth-stotram.json,"marital-bliss;family-harmony;longevity;devotion;saubhagya","marital-harmony;family-harmony;longevity;devotion;saubhagya"
kashi-panchakam.json,"liberation;knowledge;devotion;pilgrimage","moksha;knowledge;devotion;pilgrimage"
kashi-vishwanath-stotram.json,"devotion;liberation;pilgrimage;knowledge","devotion;moksha;pilgrimage;knowledge"
kathopanishad-key-verses.json,"knowledge;liberation;peace;fearlessness","knowledge;moksha;peace;fearlessness"
kaupina-panchakam.json,"spiritual-growth;knowledge;liberation;peace;devotion","spiritual-growth;knowledge;moksha;peace;devotion"
kedarnath-stotram.json,"devotion;pilgrimage;liberation;protection","devotion;pilgrimage;moksha;protection"
krishna-sahasranama.json,"devotion;spiritual-growth;knowledge;peace;liberation;archana-puja","devotion;spiritual-growth;knowledge;peace;moksha;archana-puja"
kubera-dwadash-nama.json,"prosperity;wealth;debt-relief;business-success;devotion","prosperity;wealth;debt-removal;devotion"
kubera-gayatri.json,"wealth;prosperity;business-success;japa","wealth;prosperity;japa"
kubera-hridayam.json,"wealth;prosperity;debt-relief","wealth;prosperity;debt-removal"
kubera-lakshmi-stotram.json,"wealth;prosperity;debt-removal;abundance;devotion","wealth;prosperity;debt-removal;devotion"
kubera-mantra.json,"wealth;prosperity;abundance","wealth;prosperity"
kubera-sahasranama.json,"wealth;prosperity;debt-relief;archana-puja;devotion","wealth;prosperity;debt-removal;archana-puja;devotion"
kurma-stotram.json,"devotion;stability;knowledge;liberation","devotion;stability;knowledge;moksha"
lakshmi-ashtottara-shatanamavali.json,"wealth;prosperity;removal-of-poverty;archana-puja","wealth;prosperity;archana-puja"
lakshmi-gayatri.json,"wealth;prosperity;devotion;abundance;spiritual-growth;japa","wealth;prosperity;devotion;spiritual-growth;japa"
lakshmi-narasimha-karavalamba-stotram.json,"protection;devotion;liberation;removal-of-obstacles;fearlessness","protection;devotion;moksha;removal-of-obstacles;fearlessness"
lakshmi-narayana-stotram.json,"wealth;prosperity;marital-bliss;devotion;peace","wealth;prosperity;marital-harmony;devotion;peace"
lakshmi-stuti.json,"wealth;prosperity;devotion;abundance;success","wealth;prosperity;devotion;success"
maha-ganapati-stotram.json,"obstacle-removal;devotion;spiritual-growth;success","removal-of-obstacles;devotion;spiritual-growth;success"
maha-ganesh-mantra.json,"removal-of-obstacles;wealth;knowledge;debt-relief;protection","removal-of-obstacles;wealth;knowledge;debt-removal;protection"
maha-shivratri-stotram.json,"devotion;festival-worship;liberation;sin-removal","devotion;festival-worship;moksha;sin-removal"
mahakal-stotram.json,"protection;devotion;fearlessness;liberation","protection;devotion;fearlessness;moksha"
mallikarjuna-stotram.json,"devotion;pilgrimage;liberation;sin-removal","devotion;pilgrimage;moksha;sin-removal"
manisha-panchakam.json,"spiritual-growth;knowledge;liberation;devotion","spiritual-growth;knowledge;moksha;devotion"
matsya-stotram.json,"devotion;protection;knowledge;liberation","devotion;protection;knowledge;moksha"
mundaka-upanishad-key-verses.json,"knowledge;liberation;peace;truth","knowledge;moksha;peace;truth"
nama-ramayanam.json,"devotion;protection;spiritual-growth;peace;liberation","devotion;protection;spiritual-growth;peace;moksha"
narada-bhakti-sutra-key-verses.json,"devotion;spiritual-growth;wisdom;liberation","devotion;spiritual-growth;wisdom;moksha"
narayana-ashtakam.json,"devotion;peace;protection;liberation;spiritual-growth","devotion;peace;protection;moksha;spiritual-growth"
narayana-upanishad.json,"spiritual-growth;knowledge;liberation;meditation","spiritual-growth;knowledge;moksha;meditation"
narmada-ashtakam.json,"purification;liberation;devotion;health;removal-of-sins","purification;moksha;devotion;health;sin-removal"
narsimha-chalisa.json,"protection;fearlessness;removal-of-enemies;devotion","protection;fearlessness;enemy-removal;devotion"
navagraha-shanti-stotram.json,"graha-shanti;obstacle-removal;protection;peace;devotion","graha-shanti;removal-of-obstacles;protection;peace;devotion"
nirvana-shatakam.json,"spiritual-growth;knowledge;liberation;peace;meditation","spiritual-growth;knowledge;moksha;peace;meditation"
omkareshwar-stotram.json,"devotion;pilgrimage;liberation;sin-removal","devotion;pilgrimage;moksha;sin-removal"
padmanabha-ashtakam.json,"devotion;liberation;peace;spiritual-growth","devotion;moksha;peace;spiritual-growth"
pancha-ratna-stotram.json,"devotion;mantra-siddhi;liberation;spiritual-growth","devotion;mantra-siddhi;moksha;spiritual-growth"
panchayatana-puja-stotram.json,"devotion;spiritual-growth;liberation;peace;protection","devotion;spiritual-growth;moksha;peace;protection"
prahlada-stuti.json,"devotion;protection;spiritual-growth;fearlessness;liberation","devotion;protection;spiritual-growth;fearlessness;moksha"
pratah-smarana-stotram.json,"spiritual-growth;knowledge;liberation;peace;devotion","spiritual-growth;knowledge;moksha;peace;devotion"
radha-kripa-kataksha-stotram.json,"devotion;spiritual-growth;love;peace;liberation","devotion;spiritual-growth;love;peace;moksha"
rahu-dosh-nivaran-stotram.json,"graha-shanti;protection;dosha-removal;obstacle-removal;devotion","graha-shanti;protection;dosha-removal;removal-of-obstacles;devotion"
rama-gayatri.json,"devotion;meditation;japa;liberation;dharma","devotion;meditation;japa;moksha;dharma"
rama-stotram.json,"devotion;peace;protection;righteousness;liberation","devotion;peace;protection;righteousness;moksha"
rameshwaram-stotram.json,"devotion;pilgrimage;sin-removal;liberation","devotion;pilgrimage;sin-removal;moksha"
rin-mukti-stotram.json,"debt-freedom;wealth;prosperity;removal-of-obstacles;karmic-relief;devotion","debt-removal;wealth;prosperity;removal-of-obstacles;karmic-relief;devotion"
sadhana-panchakam.json,"spiritual-growth;knowledge;liberation;peace;devotion","spiritual-growth;knowledge;moksha;peace;devotion"
sai-ashtakam.json,"devotion;peace;healing;obstacle-removal","devotion;peace;healing;removal-of-obstacles"
santan-gopala-stotram.json,"children;devotion;fulfillment-of-desires;family-welfare","children;devotion;fulfillment-of-desires;family-harmony"
santan-lakshmi-stotram.json,"children;fertility;family;health;devotion;prosperity","children;fertility;family-harmony;health;devotion;prosperity"
sarva-karya-siddhi-stotram.json,"success;obstacle-removal;career;education;devotion","success;removal-of-obstacles;career;education;devotion"
shani-gayatri.json,"graha-shanti;protection;obstacle-removal;japa","graha-shanti;protection;removal-of-obstacles;japa"
shatpadi-stotram.json,"spiritual-growth;devotion;knowledge;liberation;peace","spiritual-growth;devotion;knowledge;moksha;peace"
sheetala-mata-aarti.json,"health;protection-of-children;removal-of-diseases;devotion;aarti","health;protection-of-children;devotion;aarti"
shiva-ashtottara-shatanamavali.json,"devotion;moksha;removal-of-sins;abhishek-puja;archana-puja","devotion;moksha;sin-removal;abhishek-puja;archana-puja"
shivananda-lahari.json,"devotion;spiritual-growth;peace;forgiveness;liberation","devotion;spiritual-growth;peace;forgiveness;moksha"
shvetashvatara-upanishad-key-verses.json,"knowledge;liberation;devotion;peace","knowledge;moksha;devotion;peace"
sita-ashtakam.json,"devotion;marital-bliss;protection;courage;saubhagya","devotion;marital-harmony;protection;courage;saubhagya"
sita-stotram.json,"family-happiness;devotion;children;health;marital-bliss","family-happiness;devotion;children;health;marital-harmony"
somnath-stotram.json,"devotion;pilgrimage;healing;liberation","devotion;pilgrimage;healing;moksha"
surya-ashtottara-shatanamavali.json,"health;vitality;removal-of-graha-dosha;archana-puja","health;vitality;graha-shanti;archana-puja"
tattva-bodha-key-verses.json,"knowledge;liberation;peace","knowledge;moksha;peace"
tirupati-stotram.json,"devotion;pilgrimage;wish-fulfillment;liberation","devotion;pilgrimage;wish-fulfillment;moksha"
trayodash-shiv-naam.json,"morning-prayer;health;wish-fulfillment;protection","daily-worship;health;wish-fulfillment;protection"
trimbakeshwar-stotram.json,"devotion;pilgrimage;healing;longevity;liberation","devotion;pilgrimage;healing;longevity;moksha"
tulsi-aarti.json,"devotion;purification;wealth;peace;marital-bliss;aarti","devotion;purification;wealth;peace;marital-harmony;aarti"
vaidyanath-stotram.json,"devotion;healing;pilgrimage;liberation","devotion;healing;pilgrimage;moksha"
vairagya-shatakam.json,"vairagya;spiritual-growth;knowledge;liberation","vairagya;spiritual-growth;knowledge;moksha"
vamana-stotram.json,"devotion;victory;humility;liberation","devotion;victory;humility;moksha"
vinayaka-chaturthi-vrat-katha.json,"obstacle-removal;devotion;new-beginnings;education","removal-of-obstacles;devotion;new-beginnings;education"
virupaksha-stotram.json,"devotion;pilgrimage;liberation;knowledge","devotion;pilgrimage;moksha;knowledge"
vishnu-bhujanga-stotram.json,"devotion;liberation;spiritual-growth","devotion;moksha;spiritual-growth"
vishwanatha-ashtakam.json,"devotion;spiritual-growth;peace;liberation","devotion;spiritual-growth;peace;moksha"
vivekachudamani-key-verses.json,"liberation;knowledge;devotion;peace","moksha;knowledge;devotion;peace"
yamuna-stotram.json,"purification;devotion;health;liberation","purification;devotion;health;moksha"
yoga-vasishtha-key-verses.json,"wisdom;spiritual-growth;liberation;meditation","wisdom;spiritual-growth;moksha;meditation"
