slug,current_source,confidence,suggested_source,rationale
achyutashtakam,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
aditya-hridayam,Valmiki Ramayana - Yuddha Kanda,high,Valmiki Ramayana - Yuddha Kanda,OK for Ramayana stotras
aditya-kavacham,Bhavishya Purana,medium,Bhavishya Purana,
aditya-stotram,Puranic Compilation,medium,Puranic Compilation,
agni-ashtakam,Agni Purana,medium,Agni Purana,
agni-chalisa,Vedic Agni Worship Tradition (Rig Veda / Yajur Veda),medium,Vedic Agni Worship Tradition (Rig Veda / Yajur Veda),
agni-dwadash-nama,Rig Veda,medium,Rig Veda,
agni-gayatri,Rig Veda,medium,Rig Veda,
agni-kavacham,Agni Purana,medium,Agni Purana,
agni-stotram,Rig Veda,medium,Rig Veda,
agni-suktam,"Rigveda (Mandala 1, Sukta 1)",high,"Rigveda (Mandala 1, Sukta 1)",OK Vedic
ahoi-ashtami-vrat-katha,Traditional Folk Katha,medium,Traditional Folk Katha,
akrura-stuti,Shrimad Bhagavata Purana 10.40,high,Shrimad Bhagavata Purana 10.40,OK for Vaishnava stotras from SB
amba-stuti,Markandeya Purana (Durga Saptashati tradition),medium,Markandeya Purana (Durga Saptashati tradition),
ambika-ashtakam,Devi Purana,medium,Devi Purana,
ananda-lahari,Ananda Lahari (Saundarya Lahari Part 1) — Adi Shankaracharya,high,Ananda Lahari (Saundarya Lahari Part 1) — Adi Shankaracharya,OK for Shankara compositions
ananthashayana-stotram,Vishnu Purana,high,Vishnu Purana,OK
anjaneya-dandakam,Traditional (South Indian Tradition),medium,Traditional (South Indian Tradition),
anjaneya-stotram,Traditional Hanuman Literature,medium,Traditional Hanuman Literature,
annapurna-ashtakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
annapurna-chalisa,Folk Tradition,medium,Folk Tradition,
annapurna-stotram-shankaracharya,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
annapurna-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
apah-suktam,"Rigveda (Mandala 10, Sukta 9)",high,"Rigveda (Mandala 10, Sukta 9)",OK Vedic
aparajita-stotram,Markandeya Purana,medium,Markandeya Purana,
ardhanareeshwara-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
argala-stotram,Durga Saptashati (Markandeya Purana),medium,Durga Saptashati (Markandeya Purana),
arogya-suktam,Rigveda and Yajurveda - Vedic Compilation,high,Rigveda and Yajurveda - Vedic Compilation,OK Vedic
ashta-bhairava-stotram,Rudrayamala Tantra,medium,Rudrayamala Tantra,
ashta-dikpalaka-stotram,Vastu Shastra and Matsya Purana,medium,Vastu Shastra and Matsya Purana,
ashta-lakshmi-dhyanam,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
ashta-lakshmi-kavacham,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
ashtalakshmi-stotram,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
ashtavakra-gita-key-verses,Ashtavakra Gita,medium,Ashtavakra Gita,
ashtavinayak-stotram,Maharashtra Tradition,medium,Maharashtra Tradition,
ashwattha-stotram,"Padma Purana, Bhagavad Gita (10.26, 15.1)",high,"Padma Purana, Bhagavad Gita (10.26, 15.1)",OK
ashwini-kumara-stotram,Rigveda / Puranic Compilation,high,Rigveda / Puranic Compilation,OK Vedic
atma-bodha,Atma Bodha — Adi Shankaracharya,high,Atma Bodha — Adi Shankaracharya,OK for Shankara compositions
avadhuta-gita-key-verses,Avadhuta Gita of Dattatreya,medium,Avadhuta Gita of Dattatreya,
avadhuta-stotram,Dattatreya Tradition,medium,Dattatreya Tradition,
ayodhya-stotram,Traditional Rama Literature,medium,Traditional Rama Literature,
ayushya-suktam,Rigveda / Taittiriya Aranyaka,high,Rigveda / Taittiriya Aranyaka,OK Vedic
ayyappa-aarti,Sabarimala Ayyappa Tradition (Kerala),medium,Sabarimala Ayyappa Tradition (Kerala),
ayyappa-ashtakam,Dharma Shastra Sangrah,medium,Dharma Shastra Sangrah,
ayyappa-ashtottara-shatanamavali,Bhuta Natha Upakhyana,medium,Bhuta Natha Upakhyana,
ayyappa-chalisa,Ayyappa Bhakti Tradition,medium,Ayyappa Bhakti Tradition,
ayyappa-dwadash-nama,Dharma Shasta Purana,medium,Dharma Shasta Purana,
ayyappa-gayatri,Kerala Tantra Tradition,medium,Kerala Tantra Tradition,
ayyappa-kavacham,Shasta Tantra,medium,Shasta Tantra,
ayyappa-pancharatnam,Shasta Purana,medium,Shasta Purana,
ayyappa-sahasranama,Dharma Shastra Purana,medium,Dharma Shastra Purana,
ayyappa-stotram,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
badrinath-aarti,Traditional Aarti Sangrah - Badrinath Temple,medium,Traditional Aarti Sangrah - Badrinath Temple,
badrinath-stotram,Vishnu Purana,high,Vishnu Purana,OK
baglamukhi-kavacham,Tantrasara,medium,Tantrasara,
baglamukhi-stotram,Tantrasara,medium,Tantrasara,
bajrang-baan,Tulsidas - Traditional,medium,Tulsidas - Traditional,
bala-mukundashtakam,Traditional Vaishnavite Stotra,medium,Traditional Vaishnavite Stotra,
balakrishna-ashtakam,Vaishnava Traditional Literature,medium,Vaishnava Traditional Literature,
banke-bihari-aarti,Vrindavan Banke Bihari Temple Tradition,medium,Vrindavan Banke Bihari Temple Tradition,
batuk-bhairav-stotram,Rudrayamala Tantra,medium,Rudrayamala Tantra,
bhagavad-gita-chapter-1,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-10,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-11,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-12,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-13,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-14,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-15,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-16,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-17,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-18,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-2,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-3,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-4,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-5,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-6,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-7,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-8,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-chapter-9,Bhagavad Gita - Mahabharata,high,Bhagavad Gita - Mahabharata,OK
bhagavad-gita-dhyana-shloka,Gita Mahatmya (Padma Purana),high,Gita Mahatmya (Padma Purana),OK
bhagavad-gita-dhyanam,Bhagavad Gita,medium,Bhagavad Gita,
bhagavad-gita-mahatmya,Padma Purana - Uttara Khanda,high,Padma Purana - Uttara Khanda,OK
bhagya-suktam,Rigveda (7.41),high,Rigveda (7.41),OK Vedic
bhairav-aarti,Traditional Aarti Sangrah,medium,Classical Parasari tradition,Aarti collections often compilations with uncertain individual provenance
bhairav-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
bhairav-kavacham,Rudrayamala Tantra,medium,Rudrayamala Tantra,
bhairava-dwadash-nama,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
bhairava-gayatri,Rudrayamala Tantra,medium,Rudrayamala Tantra,
bhairava-hridayam,Rudra Yamala Tantra,medium,Rudra Yamala Tantra,
bhairava-sahasranama,Rudra Yamala Tantra,medium,Rudra Yamala Tantra,
bhairava-stotram,Rudra Yamala Tantra,medium,Rudra Yamala Tantra,
bhaja-govindam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
bhasma-jabala-upanishad-key-mantras,Bhasma Jabala Upanishad (Atharvaveda),high,Bhasma Jabala Upanishad (Atharvaveda),OK Vedic
bhavani-ashtakam,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
bhaya-nivaran-stotram,Narasimha Purana - Traditional,medium,Narasimha Purana - Traditional,
bhimashankar-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
bhishma-stuti,"Shrimad Bhagavata Purana, Canto 1, Chapter 9",high,"Shrimad Bhagavata Purana, Canto 1, Chapter 9",OK for Vaishnava stotras from SB
bhojan-mantra,"Bhagavad Gita (4.24), Taittiriya Upanishad",medium,"Bhagavad Gita (4.24), Taittiriya Upanishad",
bhuvaneshwari-stotram,Tantrasara,medium,Tantrasara,
bhuvaneswari-kavacham,Devi Bhagavata Purana,high,Devi Bhagavata Purana,OK for Devi stotras
bhuvaneswari-stotram,Todala Tantra,medium,Todala Tantra,
bilvarchana-stotram,Shiva Rahasya - Traditional,medium,Shiva Rahasya - Traditional,
bilvashtakam,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
brahma-ashtakam,Brahma Purana,medium,Brahma Purana,
brahma-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
brahma-dwadash-nama,Brahma Purana,medium,Brahma Purana,
brahma-gayatri,Vedic Tradition,medium,Vedic Tradition,
brahma-kavacham,Brahma Purana,medium,Brahma Purana,
brahma-murari-stotram,Traditional Morning Prayer,medium,Traditional Morning Prayer,
brahma-sahasranama,Brahma Purana,medium,Brahma Purana,
brahma-stotram,Brahma Purana / Vedic Tradition,medium,Brahma Purana / Vedic Tradition,
brahma-stuti-bhagavatam,Shrimad Bhagavata Purana 3.9,high,Shrimad Bhagavata Purana 3.9,OK for Vaishnava stotras from SB
brahma-stuti-vedic,Rig Veda 10.121,medium,Rig Veda 10.121,
brahmacharini-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
budh-kavacham,Graha Stotra Sangraha,medium,Graha Stotra Sangraha,
budh-sahasranama,Skanda Purana,high,Skanda Purana,OK
budh-stotra,Skanda Purana,high,Skanda Purana,OK
budha-stotram,Purana Tradition,medium,Purana Tradition,
budhvar-vrat-katha,Ganesha Purana,medium,Ganesha Purana,
chamakam,Krishna Yajurveda - Taittiriya Samhita (4.7),high,Krishna Yajurveda - Taittiriya Samhita (4.7),OK Vedic
chamunda-stuti,Devi Mahatmyam (Traditional),medium,Devi Mahatmyam (Traditional),
chandi-hridayam,Markandeya Purana (Chandi Path),medium,Markandeya Purana (Chandi Path),
chandi-kavacham,Markandeya Purana (Chandi Path / Durga Saptashati),medium,Markandeya Purana (Chandi Path / Durga Saptashati),
chandi-path-navarna-vidhi,Durga Saptashati / Markandeya Purana,medium,Durga Saptashati / Markandeya Purana,
chandi-stotram,Markandeya Purana (Chandi Path),medium,Markandeya Purana (Chandi Path),
chandra-dosh-nivaran-stotram,Graha Shanti Vidhi,medium,Graha Shanti Vidhi,
chandra-kavacham,Graha Stotra Sangraha,medium,Graha Stotra Sangraha,
chandra-sahasranama,Skanda Purana,high,Skanda Purana,OK
chandra-stotra,Skanda Purana,high,Skanda Purana,OK
chandra-stotram,Purana Tradition,medium,Purana Tradition,
chandraghanta-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
chandrashekhar-ashtakam,Composed by Markandeya Rishi,medium,Composed by Markandeya Rishi,
chardham-stotram,Purana Tradition,medium,Purana Tradition,
chatuh-shloki-bhagavatam,"Shrimad Bhagavata Purana, Canto 2, Chapter 9",high,"Shrimad Bhagavata Purana, Canto 2, Chapter 9",OK for Vaishnava stotras from SB
chhath-puja-stotram,Chhath Puja Tradition / Bhojpuri-Sanskrit Folk Compilation,medium,Chhath Puja Tradition / Bhojpuri-Sanskrit Folk Compilation,
chhath-puja-vidhi,Chhath Parampara (Bihar/Purvanchal Tradition),medium,Chhath Parampara (Bihar/Purvanchal Tradition),
chhath-puja-vrat-katha,Padma Purana,high,Padma Purana,OK
chinnamasta-kavacham,Shakta Pramoda,medium,Shakta Pramoda,
chinnamasta-stotram,Tantrasara,medium,Tantrasara,
dakshina-kali-dhyanam,Todala Tantra / Kali Tantra,medium,Todala Tantra / Kali Tantra,
dakshina-kali-stotram,Kalika Purana,medium,Kalika Purana,
dakshinamurthy-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
dakshinamurthy-stotram,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
damodarashtakam,Padma Purana,high,Padma Purana,OK
daridrya-dahana-shiva-stotram,Traditional Sanskrit Hymn (attributed to Vaishampayan Rishi),medium,Traditional Sanskrit Hymn (attributed to Vaishampayan Rishi),
dasha-mahavidya-stotram,Tantra Shastra,medium,Tantra Shastra,
dasha-shloki,Dasha Shloki — Adi Shankaracharya,high,Dasha Shloki — Adi Shankaracharya,OK for Shankara compositions
dashavatara-dhyanam,Bhagavata Purana / Traditional,high,Bhagavata Purana / Traditional,OK for Vaishnava stotras from SB
dashavatara-stotram,Gita Govinda by Jayadeva (12th Century),medium,Gita Govinda by Jayadeva (12th Century),
datta-bavani,Traditional Dattatreya Devotional Literature,medium,Traditional Dattatreya Devotional Literature,
datta-stuti,Datta Sampradaya Tradition,medium,Datta Sampradaya Tradition,
dattatreya-aarti,Datta Sampradaya (Marathi tradition),medium,Datta Sampradaya (Marathi tradition),
dattatreya-ashtakam,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
dattatreya-ashtottara-shatanamavali,Dattatreya Tantra,medium,Dattatreya Tantra,
dattatreya-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
dattatreya-dhyanam,Dattatreya Upanishad / Guru Charitra,medium,Dattatreya Upanishad / Guru Charitra,
dattatreya-dwadash-nama,Dattatreya Purana,medium,Dattatreya Purana,
dattatreya-gayatri,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
dattatreya-hridayam,Dattatreya Tantra,medium,Dattatreya Tantra,
dattatreya-kavacham,Narada Purana,medium,Narada Purana,
dattatreya-mangalashtakam,Dattatreya Tantra,medium,Dattatreya Tantra,
dattatreya-pancharatnam,Dattatreya Tantra,medium,Dattatreya Tantra,
dattatreya-sahasranama,Markandeya Purana,medium,Markandeya Purana,
dattatreya-stotram,Narada Purana,medium,Narada Purana,
dattatreya-upanishad-key-verses,Dattatreya Upanishad,medium,Dattatreya Upanishad,
dayashatakam-key-verses,Vedanta Deshika - Dayashatakam,medium,Vedanta Deshika - Dayashatakam,
deepa-jyoti-stotram,"Skanda Purana, Brihadaranyaka Upanishad",high,"Skanda Purana, Brihadaranyaka Upanishad",OK
dev-uthani-ekadashi-katha,Padma Purana,high,Padma Purana,OK
devaki-stuti,Shrimad Bhagavata Purana 10.3,high,Shrimad Bhagavata Purana 10.3,OK for Vaishnava stotras from SB
devi-aparadha-kshamapana-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
devi-atharvashirsha,Atharva Veda (Upanishad),medium,Atharva Veda (Upanishad),
devi-bhujanga-stotram,Devi Bhujanga Stotram — Adi Shankaracharya,high,Devi Bhujanga Stotram — Adi Shankaracharya,OK for Shankara compositions
devi-chatushashti-upachara,Devi Bhagavata Purana,high,Devi Bhagavata Purana,OK for Devi stotras
devi-hridayam,Atharvana tradition / Bhargava Rishi,medium,Atharvana tradition / Bhargava Rishi,
devi-kavacham,Devi Mahatmyam (Markandeya Purana),medium,Devi Mahatmyam (Markandeya Purana),
devi-khadgamala-stotram,Sri Vidya Tantra Tradition (Vamakeshvara Tantra),medium,Sri Vidya Tantra Tradition (Vamakeshvara Tantra),
devi-mahatmya-siddha-kunjika,Rudra Yamala Tantra / Devi Mahatmya,medium,Rudra Yamala Tantra / Devi Mahatmya,
devi-mahatmyam-madhyama-charitra,Markandeya Purana (Devi Mahatmyam / Durga Saptashati),medium,Markandeya Purana (Devi Mahatmyam / Durga Saptashati),
devi-mahatmyam-prathama-charitra,Markandeya Purana (Devi Mahatmyam / Durga Saptashati),medium,Markandeya Purana (Devi Mahatmyam / Durga Saptashati),
devi-mahatmyam-uttama-charitra,Markandeya Purana (Devi Mahatmyam / Durga Saptashati),medium,Markandeya Purana (Devi Mahatmyam / Durga Saptashati),
devi-stuti,Devi Mahatmyam (Markandeya Purana),medium,Devi Mahatmyam (Markandeya Purana),
devi-suktam,Rigveda (10.125),high,Rigveda (10.125),OK Vedic
dhanalakshmi-stotram,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
dhanteras-katha,Samudra Manthan - Puranic Tradition,medium,Samudra Manthan - Puranic Tradition,
dhanteras-puja-stotram,Traditional Puja Literature,medium,Traditional Puja Literature,
dhanvantari-ashtakam,Bhagavata Purana,high,Bhagavata Purana,OK for Vaishnava stotras from SB
dhanvantari-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
dhanvantari-dwadash-nama,Bhagavata Purana,high,Bhagavata Purana,OK for Vaishnava stotras from SB
dhanvantari-gayatri,Ayurveda Tradition,medium,Ayurveda Tradition,
dhanvantari-hridayam,Agni Purana / Ayurvedic Tradition,medium,Agni Purana / Ayurvedic Tradition,
dhanvantari-kavacham,Agni Purana,medium,Agni Purana,
dhanvantari-mantra,Bhagavata Purana / Ayurvedic Tradition,high,Bhagavata Purana / Ayurvedic Tradition,OK for Vaishnava stotras from SB
dhanvantari-sahasranama,Agni Purana / Ayurvedic Tradition,medium,Agni Purana / Ayurvedic Tradition,
dhanvantari-stotram,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
dharma-stuti,Mahabharata and Manu Smriti,high,Mahabharata and Manu Smriti,OK
dhruva-stuti,"Shrimad Bhagavata Purana, Canto 4, Chapter 9",high,"Shrimad Bhagavata Purana, Canto 4, Chapter 9",OK for Vaishnava stotras from SB
dhumavati-kavacham,Shakta Pramoda,medium,Shakta Pramoda,
dhumavati-stotram,Tantrasara,medium,Tantrasara,
diwali-vrat-katha,Skanda Purana - Traditional,high,Skanda Purana - Traditional,OK
dnyaneshwari-pasaydan,Sant Dnyaneshwar - Dnyaneshwari (Chapter 18),medium,Sant Dnyaneshwar - Dnyaneshwari (Chapter 18),
dohavali-key-dohe,Dohavali - Goswami Tulsidas,medium,Dohavali - Goswami Tulsidas,
durga-aarti,Traditional Aarti Sangrah,medium,Classical Parasari tradition,Aarti collections often compilations with uncertain individual provenance
durga-ashtakam,Devi Mahatmyam (Markandeya Purana),medium,Devi Mahatmyam (Markandeya Purana),
durga-ashtottara-shatanamavali,Durga Saptashati / Markandeya Purana,medium,Durga Saptashati / Markandeya Purana,
durga-chalisa,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
durga-dvatrinsha-naamamala,Devi Mahatmyam (Markandeya Purana),medium,Devi Mahatmyam (Markandeya Purana),
durga-dwadash-nama,Devi Bhagavata Purana,high,Devi Bhagavata Purana,OK for Devi stotras
durga-gayatri,Durga Saptashati / Markandeya Purana,medium,Durga Saptashati / Markandeya Purana,
durga-hridayam,Markandeya Purana,medium,Markandeya Purana,
durga-kavach,Durga Saptashati (Markandeya Purana),medium,Durga Saptashati (Markandeya Purana),
durga-mangalashtakam,Durga Saptashati tradition,medium,Durga Saptashati tradition,
durga-nav-shloki,Markandeya Purana / Devi Mahatmya,medium,Markandeya Purana / Devi Mahatmya,
durga-pancha-ratnam,Devi Mahatmya,medium,Devi Mahatmya,
durga-pancharatnam,Markandeya Purana,medium,Markandeya Purana,
durga-sahasranama-stotram,Skanda Purana,high,Skanda Purana,OK
durga-sahasranama,Markandeya Purana,medium,Markandeya Purana,
durga-saptashloki,Durga Saptashati (Markandeya Purana),medium,Durga Saptashati (Markandeya Purana),
durga-stuti-arjuna,Mahabharata (Bhishma Parva),high,Mahabharata (Bhishma Parva),OK
durga-stuti-chaman-lal,Durga Saptashati / Markandeya Purana,medium,Durga Saptashati / Markandeya Purana,
durga-suktam,Taittiriya Aranyaka (4.10) - Mahanarayana Upanishad,medium,Taittiriya Aranyaka (4.10) - Mahanarayana Upanishad,
dussehra-stotram,Valmiki Ramayana / Vijayadashami Tradition,high,Valmiki Ramayana / Vijayadashami Tradition,OK for Ramayana stotras
dwadash-aditya-stotram,Puranic Compilation,medium,Puranic Compilation,
dwadash-stotra-madhva,Dwadash Stotra (Shri Madhvacharya),medium,Dwadash Stotra (Shri Madhvacharya),
dwadasha-jyotirlinga-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
dwarkadhish-aarti,Traditional (Dwarkadhish Temple),medium,Traditional (Dwarkadhish Temple),
dwarkadhish-stotram,Bhagavata Purana,high,Bhagavata Purana,OK for Vaishnava stotras from SB
eka-shloki,Eka Shloki — Adi Shankaracharya,high,Eka Shloki — Adi Shankaracharya,OK for Shankara compositions
ekadasha-rudra-stotram,Shiva Purana / Rudra tradition,high,Shiva Purana / Rudra tradition,OK for Shiva stotras from Shiva Purana
ekadashi-mahatmya-shloka,Padma Purana / Vishnu Purana,high,Padma Purana / Vishnu Purana,OK
ekadashi-mahatmya,Padma Purana - Uttara Khanda,high,Padma Purana - Uttara Khanda,OK
ekadashi-vrat-katha,Padma Purana,high,Padma Purana,OK
